, You
A, computer
AI, that
Actually, I
Adam, came
After, making
Again, this
Air, travel
AlKhawarizmi, who
Albert, Einstein
All, of
Also, big
Although, we
Always, you
American, cities
And, then
Apollo, program
Apollostyle, approach
Approaching, in
As, it
Asteroid, Belt
Atlantic, in
Based, on
Battlestar, Galactica
Because, you
Become, multiplanetary
Belt, the
Biggest, challenge
Brothers, And
But, if
By, half
CAD, models
CClarkwhich, said
CH, and
CO, plus
California, to
Canaveral, That
Cape, Canaveral
China, So
Cloud, I
Cross, the
D, and
DC, LA
December, that
Do, you
Dollars, So
Dragon, should
Dubai, In
Earth, gravity
EarthMars, rendezvous
Einstein, and
Elon, Musk
Enceladus, or
Europa, particularly
Eve, and
Even, the
Everything, is
Falcon, 
For, example
Ford, the
Fortunately, if
Full, reusability
Galactica, u
Gassify, the
Globally, Newton
Globe, If
Going, from
Google, or
Government, Summit
HO, to
Heavy, which
Henry, Ford
History, is
How, do
Hydrogen, although
I, do
IAC, And
ICBMbecause, that
ISP, specific
Id, recommend
If, you
Ill, say
Im, guilty
In, the
Incredibly, difficult
Interesting, I
Internet, stuff
Is, it
Isnt, it
It, could
Itd, be
Its, great
Iull, show
Ium, personally
Ive, been
June, 
Jupiter, I
Just, as
Kickstarter, u
Kuiper, Belt
LA, and
LEO, lowEarth
Less, So
Lets, see
Life, as
Like, friends
Mach, diamonds
Machines, robots
Mars, I
Maybe, not
Mercury, is
Merlin, except
Most, of
Musk, Whats
My, guess
NASA, awarded
NASAs, biggest
Neptune, Saturn
New, York
Newton, Henry
No, challenge
Nobody, helps
Not, true
Now, the
O, using
Oasis, which
October, last
Oh, and
Okay, But
On, the
Once, you
One, of
Oort, Cloud
Or, another
Otherwise, whats
Our, rocket
PICA, which
Part, of
Particularly, output
PayPal, I
Picking, the
Pluto, or
Pong, when
PowerPointIf, you
PowerPointYou, can
QA, that
Quick, means
Raptor, and
Raptors, are
Read, Less
Really, most
Roadster, people
Russia, I
Russian, rocket
S, which
Saturn, V
Saturns, moon
Sebatier, reaction
See, you
Seems, like
So, you
SolarCity, When
Some, people
Sometimes, they
Sorry, u
Southwest, right
SpaceX, And
SpaceXAnd, this
States, established
StatesBecause, United
Still, 
Summit, to
Sun, A
Super, intelligent
Sure, first
Tell, me
Tesla, cars
Teslas, built
Texas, But
Thank, you
Thanks, for
That, still
Thats, very
The, difficulty
Then, it
There, will
Theres, got
These, are
They, dont
Theyd, routinely
Theyll, be
Theyre, actually
Think, of
This, is
Time, is
Timelines, Im
Titan, Saturns
To, do
Tokyo, in
UAE, And
US, which
USA, off
Ultimately, this
United, States
Universal, basic
Uranus, and
Us, all
Using, traditional
V, And
Vegas, for
Venn, diagram
Venus, uVenus
Very, difficult
Vs, max
Washington, DC
We, have
Well, no
Were, currently
Weve, thought
What, do
Whats, your
When, you
Whereas, if
Which, makes
Why, now
WiFi, connection
With, every
Without, refilling
World, Government
Wright, Brothers
Yeah, its
Yes, Time
York, to
You, ignore
Youd, have
Youll, see
